@relation train

@attribute object numeric
@attribute localization numeric
@attribute class {GoToBed, UseToilet, PrepareBreakfast, TakeShower, LeaveHouse, GetDrink, PrepareDinner} 

@data
1,1,GoToBed
1,2,UseToilet
2,3,UseToilet
2,3,UseToilet
1,2,UseToilet
3,4,PrepareBreakfast
3,4,PrepareBreakfast
4,4,PrepareBreakfast
4,4,PrepareBreakfast
5,4,PrepareBreakfast
6,4,PrepareBreakfast
5,4,PrepareBreakfast
6,4,PrepareBreakfast
1,5,TakeShower
1,5,TakeShower
1,5,TakeShower
1,6,LeaveHouse
1,6,LeaveHouse
1,2,UseToilet
2,3,UseToilet
1,2,UseToilet
4,4,GetDrink
4,4,GetDrink
7,4,GetDrink
7,4,GetDrink
7,4,GetDrink
4,4,GetDrink
4,4,GetDrink
1,2,UseToilet
1,2,UseToilet
2,3,UseToilet
1,2,UseToilet
6,4,PrepareDinner
4,4,PrepareDinner
4,4,PrepareDinner
4,4,PrepareDinner
4,4,PrepareDinner
4,4,PrepareDinner
6,4,PrepareDinner
4,4,PrepareDinner
5,4,PrepareDinner
8,4,PrepareDinner
8,4,PrepareDinner
7,4,PrepareDinner
7,4,PrepareDinner
9,4,PrepareDinner
4,4,PrepareDinner
4,4,PrepareDinner
4,4,PrepareDinner
3,4,PrepareDinner
5,4,PrepareDinner
5,4,PrepareDinner
4,4,PrepareDinner
4,4,PrepareDinner
3,4,PrepareDinner
4,4,PrepareDinner
4,4,GetDrink
4,4,GetDrink
1,2,UseToilet
1,2,UseToilet
2,3,UseToilet
1,2,UseToilet
1,2,UseToilet
1,2,UseToilet
2,3,UseToilet
1,2,UseToilet
2,3,UseToilet
1,2,UseToilet
1,2,UseToilet
1,1,UseToilet
1,1,UseToilet
1,2,UseToilet
1,2,UseToilet
1,2,UseToilet
2,3,UseToilet
3,4,PrepareBreakfast
6,4,PrepareBreakfast
6,4,PrepareBreakfast
4,4,PrepareBreakfast
4,4,PrepareBreakfast
1,5,TakeShower
1,5,TakeShower
1,5,TakeShower
1,5,TakeShower
1,6,LeaveHouse
1,6,LeaveHouse
1,6,LeaveHouse
1,2,LeaveHouse
1,2,UseToilet
2,3,UseToilet
1,2,UseToilet
4,4,GetDrink
4,4,GetDrink
7,4,GetDrink
4,4,GetDrink
1,2,UseToilet
2,3,UseToilet
1,2,UseToilet
1,2,UseToilet
1,2,UseToilet
1,2,UseToilet
1,1,UseToilet
1,2,UseToilet
2,3,UseToilet
1,2,UseToilet
3,4,PrepareBreakfast
6,4,PrepareBreakfast
4,4,PrepareBreakfast
4,4,PrepareBreakfast
2,3,UseToilet
1,2,UseToilet
1,5,TakeShower
1,5,TakeShower
1,6,LeaveHouse
1,6,LeaveHouse
6,4,PrepareDinner
4,4,PrepareDinner
8,4,PrepareDinner
4,4,PrepareDinner
9,4,PrepareDinner
4,4,PrepareDinner
4,4,PrepareDinner
4,4,PrepareDinner
3,4,PrepareDinner
3,4,PrepareDinner
7,4,GetDrink
4,4,GetDrink
1,2,UseToilet
2,3,UseToilet
1,2,UseToilet
1,2,UseToilet
2,3,UseToilet
1,2,UseToilet
1,2,UseToilet
1,2,UseToilet
1,5,UseToilet
1,2,UseToilet
2,3,UseToilet
1,2,UseToilet
1,2,UseToilet
1,2,UseToilet
2,3,UseToilet
3,4,PrepareBreakfast
6,4,PrepareBreakfast
6,4,PrepareBreakfast
6,4,PrepareBreakfast
6,4,PrepareBreakfast
6,4,PrepareBreakfast
6,4,PrepareBreakfast
1,2,UseToilet
2,3,UseToilet
1,2,UseToilet
1,5,TakeShower
1,5,TakeShower
1,5,TakeShower
1,6,LeaveHouse
1,6,LeaveHouse
1,2,UseToilet
2,3,UseToilet
1,2,UseToilet
1,6,LeaveHouse
1,6,LeaveHouse
1,2,UseToilet
2,3,UseToilet
1,2,UseToilet
1,2,UseToilet
1,2,UseToilet
2,3,UseToilet
1,2,UseToilet
1,1,UseToilet
1,2,UseToilet
1,2,UseToilet
1,1,UseToilet
1,2,UseToilet
3,4,PrepareBreakfast
6,4,PrepareBreakfast
4,4,PrepareBreakfast
1,2,UseToilet
2,3,UseToilet
2,3,UseToilet
1,2,UseToilet
1,5,TakeShower
1,5,TakeShower
1,5,TakeShower
1,5,TakeShower
1,6,LeaveHouse
1,6,LeaveHouse
4,4,LeaveHouse
1,6,LeaveHouse
1,6,LeaveHouse
1,2,UseToilet
2,3,UseToilet
1,2,UseToilet
4,4,PrepareDinner
7,4,PrepareDinner
3,4,PrepareDinner
4,4,PrepareDinner
6,4,PrepareDinner
4,4,PrepareDinner
8,4,PrepareDinner
4,4,PrepareDinner
8,4,PrepareDinner
8,4,PrepareDinner
